
              Name                      Version          Type   
  spdx-expression-parse          3.0.1                  npm     
  spdx-expression-parse          4.0.0                  npm     
  spdx-license-ids               3.0.17                 npm     
  sprintf-js                     1.1.3                  npm     
  ssl_client                     1.36.1-r19             apk     
  ssri                           10.0.5                 npm     
  statuses                       2.0.1                  npm     
  string-locale-compare          1.1.0                  npm     
  string-width                   5.1.2                  npm     
  string-width                   4.2.3                  npm     
  strip-ansi                     6.0.1                  npm     
  strip-ansi                     7.1.0                  npm     
  supports-color                 9.4.0                  npm     
  supports-color                 7.2.0                  npm     
  tar                            6.2.1                  npm     
  text-table                     0.2.0                  npm     
  tiny-relative-date             1.3.0                  npm     
  toidentifier                   1.0.1                  npm     
  treeverse                      3.0.0                  npm     
  tuf                            2.3.2                  npm     
  tuf-js                         2.2.0                  npm     
  type-is                        1.6.18                 npm     
  unique-filename                3.0.0                  npm     
  unique-slug                    4.0.0                  npm     
  unpipe                         1.0.0                  npm     
  util-deprecate                 1.0.2                  npm     
  utils-merge                    1.0.1                  npm     
  validate-npm-package-license   3.0.4                  npm     
  validate-npm-package-name      5.0.0                  npm     
  vary                           1.1.2                  npm     
  verify                         1.2.0                  npm     
  walk-up-path                   3.0.1                  npm     
  which                          2.0.2                  npm     
  which                          4.0.0                  npm     
  wrap-ansi                      7.0.0                  npm     
  wrap-ansi                      8.1.0                  npm     
  write-file-atomic              5.0.1                  npm     
  yallist                        4.0.0                  npm     
  yarn                           1.22.19                npm     
  zlib                           1.3.1-r0               apk     
